path,gw,apn,pool_name,vpn_instance,section,start_ip,end_ip
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,17,10.65.192.0,10.65.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,17,2C0F:FC88:187::,2C0F:FC88:187:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,18,10.6.0.0,10.6.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,18,2C0F:FC88:188::,2C0F:FC88:188:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,19,10.6.128.0,10.6.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,19,2C0F:FC88:189::,2C0F:FC88:189:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,20,10.214.0.0,10.214.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,20,2C0F:FC88:18A::,2C0F:FC88:18A:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,21,10.214.128.0,10.214.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,21,2C0F:FC88:180::,2C0F:FC88:180:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,22,10.16.0.0,10.16.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,22,2C0F:FC88:181::,2C0F:FC88:181:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,23,10.16.128.0,10.16.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,23,2C0F:FC88:182::,2C0F:FC88:182:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,24,10.18.0.0,10.18.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,24,2C0F:FC88:183::,2C0F:FC88:183:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,25,10.18.128.0,10.18.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,25,2C0F:FC88:184::,2C0F:FC88:184:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,26,10.4.0.0,10.4.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,26,2C0F:FC88:185::,2C0F:FC88:185:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,27,10.4.128.0,10.4.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,27,2C0F:FC88:17A::,2C0F:FC88:17A:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,28,10.179.0.0,10.179.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,28,2C0F:FC88:17B::,2C0F:FC88:17B:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,29,10.179.128.0,10.179.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,29,2C0F:FC88:17C::,2C0F:FC88:17C:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,30,10.108.0.0,10.108.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,30,2C0F:FC88:17D::,2C0F:FC88:17D:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,31,10.77.0.0,10.77.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,31,2C0F:FC88:17E::,2C0F:FC88:17E:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,32,10.77.128.0,10.77.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi_ipv6,Gi_MI_IPv6,32,2C0F:FC88:17F::,2C0F:FC88:17F:FFFF:FFFF:FFFF:FFFF:FFFF
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,33,10.66.0.0,10.66.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,34,10.66.128.0,10.66.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,35,10.213.0.0,10.213.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,36,10.213.128.0,10.213.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,37,10.76.0.0,10.76.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,38,10.76.128.0,10.76.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,39,10.96.0.0,10.96.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,40,10.96.128.0,10.96.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,41,10.26.0.0,10.26.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,42,10.26.64.0,10.26.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,43,10.26.128.0,10.26.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,44,10.26.192.0,10.26.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,45,10.25.0.0,10.25.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,46,10.25.128.0,10.25.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,47,10.7.0.0,10.7.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,48,10.7.128.0,10.7.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,49,10.5.0.0,10.5.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,50,10.5.128.0,10.5.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,51,10.100.64.0,10.100.95.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,52,10.98.96.0,10.98.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,53,10.100.192.0,10.100.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,54,10.227.128.0,10.227.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,55,10.227.192.0,10.227.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,56,10.3.0.0,10.3.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,57,10.3.64.0,10.3.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,58,10.3.128.0,10.3.191.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,59,10.3.192.0,10.3.255.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,60,10.227.0.0,10.227.63.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,61,10.227.64.0,10.227.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,62,10.95.96.0,10.95.127.255
Alex,APUPF41,etisalat,ap_etisalat_mi,Gi_MI_IPv4,63,10.98.128.0,10.98.191.255
Ramsis,NSVUPF36,etisalat,etisalat_ipv6,Gi_MI_IPv6,0,2C0F:FC89:3E::,2C0F:FC89:3E:7FFF:FFFF:FFFF:FFFF:FFFF
